question,A1,A2,A3,A4,correct,explanation
האם ב-MI קיים מצב המודינמי מחייב?,כן עליה בדופק וירידה בלד,כן ירידה בדופק ועליה בלד,כן עליה בדופק ובלד,לא,A4,
הפעולה הראשונה שיש לבצע במקרה של נשיכת כלב שאינה מדממת חזק,"זיהוי סוג הכלב ואם אפשר, תפיסתו לצורך הסגר",שטיפת מקום הנשיכה עם מים וסבון,משחה אנטיביוטית על מקום הפצע וחיסון מונע,"השכבת הנפגע, הרגעתו וקיבוע האזור הנפגע",A2,"נשיכת כלב עלולה להעביר מחלות כמו כלבת בשל החדרת נגיף למערכת העצבים וטיפוסה אל המוח וזיהומים אחרים. כלבת היא מחלה המועברת באמצעות רוק (גם בליקוק) או נשיכה. עם זאת, נראה שסכנת הנשיכה היא פציעה קשה, דימום או חנק (בנשיכה בצוואר) מכלבים תוקפניים ומסוכנים. במקרה של נשיכה על רקע תוקפנות יש להפריד בין הכלב לקורבן. פעולה חשובה היא לשטוף מיד את הפצעים במים ובסבון ולעצור את הדימום. פעולה זו ממזערת למינימום סיכון מזיהום. יש להעביר את הכלב להסגר כדי לקבוע שאינו חולה בכלבת ולפנות את הנפגע למסגרת רפואית לשם קבלת טיפול וחיסון לפי הצורך. להורדת מצגת מפורטת בנושא הצלת חיים"
מהו מיקום העיסוי המקובל?,בשליש העליון של בית החזה בין שתי הפטמות,באזור מפתח הלב,שתי אצבעות מתחת לפטמה השמאלית,"על הסטרנום, שתי אצבעות מתחת למפתח הלב",A1,"מיקום עיסוי הלב בשליש העליון של בית החזה בין שתי הפטמות (בגבר), כארבע אצבעות מעל מפתח הלב. העיסוי מבוצע עם כרית כף היד. במבוגר יש להניח כף יד אחת על השניה, לישר מרפקים ולהתייצב מעל אזור העיסוי ב 90 מעלות, ככל שניתן. הלחץ צריך להיות מופעל לכיוון גב המטופל בעומק 4-5 ס""מ (בזקנים עלולים לשבור צלעות ובילדים ההנחיות שונות). יצוין כי יש מקומות המזכירים את המיקום כשתי אצבעות מעל מפתח הלב. ברוב ההנחיות של מד""א מדברים על מרכז בית החזה ללא אינדיקציה מפורשת לגבי המיקום המדויק. ההנחיות לעיל צריכות לספק. להורדת מצגת מפורטת בנושא הצלת חיים"
מה הסכנה העיקרית בשבר פתוח?,איבוד דם,נכות,זיהום,איבוד נוזלים,A3,"לעצמות יש אספקת דם עצמאית אך היא איטית ומצומצמת יחסית לרקמות אחרות. לכן יש פחות תגובה לזיהום מצד מערכת החיסון. גם תרופות נספגות שם יותר לאט. מכאן שתהליך הריפוי ממושך יותר. מסיבה זו יש להימנע מזיהום וזאת נעשה על ידי שטיפת האזור הפגוע בנוזל סטרילי (אבל אם אין, אז גם במים זורמים), חבישה וקיבוע. הערה: שברים פתוחים מהווים כ- 20% מכלל הפציעות המלחמתיות."
מתי נבצע טפיחת גורדון?,בחסימה חלקית כשהנפגע משתעל,בחסימה מלאה כשהמטופל בהכרה,בחסימה מלאה כשהמטופל לא בהכרה,בכל המקרים לעיל,A2,"אם מדובר בחסימה חלקית יש לעודד את המטופל להשתעל. לא מבצעים טפיחות או היימליך. אם החסימה מלאה והמטופל בהכרה עשה טפיחת גורדון ו 5-6 נסיונות היימליך (לא לנכים, תינוקות, שמנים ונשים הרות). אם החסימה מלאה והמטופל לא בהכרה ננשים. אם ההנשמה לא יעילה נבדוק אם ניתן לגרוף את הגוף הזר ואחר לבצע חמש פעמיםChest Thrusts כלומר עיסויי חזה רגילים כשהמטופל שוכב. אם לא עוזר, ננסה להנשים בלחץ עד שהגוף הזר נדחף לסמפון הימני (לריאה הימנית) וכך נמשיך להנשים ריאה אחת."
"גבר סוכרתי לקח אינסולין בבוקר אך לא אכל. כעת הוא מזיע, חיוור, רועד, מבולבל ומתנהג באגרסיביות. — מהו המצב הסביר ביותר?",היפרגליקמיה,היפוגליקמיה,COPD,חנק קל,A2,"אינסולין ללא אוכל, יחד עם הזעה, רעד, חיוורון ובלבול מתאימים להיפוגליקמיה."
מהו מוות מוחי?,הפסקה מלאה של פעילות הלב,הפסקה מלאה ובלתי הפיכה של פעילות המוח,מצב של חוסר הכרה זמני,כשהמוח כואב,A2,מוות מוחי = הפסקה בלתי הפיכה של כל פעילות המוח. לא ניתן להחיות.
"סימנים של סימנים: צימאון, בחילה, דופק מהיר, אי שקט, איבוד גמישות העור (טורגור), סחרחורת וכאבי ראש מכוון ל:",התקף לב,סוכרת,גלי חום בגיל המעבר,התייבשות,A4,"התייבשות נגרמת על רקע איבוד נוזלים בשל היעדר שתייה מספקת ונידוף (דרך זיעה) ביום חם או מאמץ גופני מוגבר. סימנים כוללים צימאון, בחילה, דופק מהיר, אי שקט, יובש בריריות הפה, איבוד גמישות העור (טורגור), סחרחורת וכאבי ראש. מניעה נכונה כוללת שתיה מספקת (הנמדדת לא בליטרים אלא בהטלת שתן בהיר מדי 2-3 שעות). התייבשות עלולה להוביל לנזקים נוירולוגיים ולמוות. להורדת מצגת מפורטת בנושא הצלת חיים"
כיצד מטפלים באדם שטבע כארבע דקות?,להוציא מים מהריאות ולהתחיל ב ABC,אם מדובר במים מלוחים לנסות להוציא את המים ואם מדובר במים מתוקים להתחיל להנשים,להתחיל מידית החייאה לפי ה ABC ולפנות להמשך טיפול בבית חולים,להתחיל מיידית עיסוי לב כדי להוציא את המים מאזור הריאות,A3,"לאחר הוצאת הטובע אין לנסות להוציא מים מהריאות. זהו תהליך מבזבז זמן שעלול להוביל להקאה לא רצונית וחנק. יש לבצע החייאה לפי ה ABC ולפנות את הטובע לבית חולים בשל אפשרות לסיבוכים מאוחרים. עיסוי לב משולב בהנשמה, נעשה אם האדם איבד דופק. יצוין כי בשנים האחרונות יצאה הוראה שאנשים שאינם מיומנים מתבקשים לבצע עיסוי לב בלבד כיוון שזרימת הדם חשובה וקודמת להכנסת חמצן. בנוסף, הפסקת העיסוי לטובת ההנשמה פוגעת בלחץ הדם שממילה קשה לשמירה. לגבי עיסוי והנשמה עם שני אנשים, כאן הדעות יותר חלוקות. להורדת מצגת מפורטת בנושא הצלת חיים"
"גבר בן 25 נדקר בבטן, לד 70/40. ממצאים נוספים?",שיתוקים בצד אחד,נשימה איטית ולא סדירה,כאבי ראש והקאות,צמרמורות ויובש בריריות,A4,
חולה משותק בכיסא גלגלים לא מצליח לדבר לאחר שאכל שוקולד. מה תעשו?,אקח סלפי,אתחיל החייאה,אתחיל לחיצות חזה כאשר המטופל ישוב בכיסא הגלגלים,אומר למטופל לעמוד ואתחיל לחיצות ברום הבטן,A3,בחנק חמור אצל יושב על כיסא גלגלים - לבצע לחיצות חזה מאחור בזמן שהוא ישוב.
מה מהבאים הוא לא שלב במהלך פרכוס כללי?,פוסטיקטל,אאורה,טוניק,אאורטה,A4,
מה עושים במקרה של צפידת מוות בהחייאה?,מפסיקים החייאה,מתעלמים וממשיכים,מנשימים,זה אומר שהמטופל מתאושש,A1,צפידת מוות (rigor mortis) = עדות למוות. מפסיקים החייאה – אין סיכוי להחזרת חיים.
אדם שבלע בטעות עצם מתחיל להכחיל. סדר הפעולות הנכון:,"לטפוח על גבו ולעודדו להשתעל, לנסות למשוך את העצם אם היא בולטת, תמרון היימליך","להכניס אצבעות לחלל הפה במטרה ""לדוג"" את העצם הזר, לבקש שישתעל באותו זמן",תמרון היימליך לפני כל דבר אחר,"לפנות מידית ברכב. במידה והמטופל מכחיל, להתחיל להנשימו.",A1,"מקרה של ""הקדים קנה לוושט"" שכיח ולא כל מקרה מסתיים בחדר מיון. במיקרה שאירוע כזה אכן חל, יש לבקש מהאדם להשתעל תוך טפיחות על השכמות שלו. אם פעולה זו אינה מצליחה והמטפל מזהה את העצם הזר בולט מחלל הפה, ניתן למשוך אותו בזהירות. עם זאת, פעולת משיכה עלולה להחדיר בטעות את החפץ במקום להוציאו. אם הפעולה לא עזרה, נבצע פעולת היימליך: עומדים מאחורי המטופל, מחבקים אותו כך שהידיים שלנו נאספות לאגרופים באזור מפתח הלב ולוחצים כלפי מעלה עד 6 פעמים. הפעולה מעודדת שיעול ופליטת הגוף הזר. יש לחזור על השלבים עד הוצאת החפץ או עד אובדן ההכרה של המטופל. אם המטופל לא מצליח לנשום עצמונית יש לדווח במהירות לגורם רפואי ובמקביל לבצע פעולות הנשמה מתוך תקווה שחלק מהאוויר יחדור בכל זאת או שידחוף את החפץ הזר מעבר לפיצול הקנה לריאות ויאפשר לריאה אחת לנשום כראוי. להורדת מצגת מפורטת בנושא הצלת חיים"
מהו סדר פעולות הטיפול בנפגע חזה?,"חבישה, אנטיביוטיקה, הנשמה עם אמבו","אטימת הפצע, הנשמה עם אמבו, טרוקר","חמצן, טרוקר, חבישה ואיטום, החזרת נוזלים",פינוי מידי ללא כל התערבות,A3,"במידה ויש חמצן זמין, צריך לתת מיד למטופל כדי לשפר את הסטורציה שלו. אסור להנשים אותו בלחץ (עם אמבו) כי זה יכול להחמיר את הצטברות האוויר שבחלל בית החזה. טרוקר (או וויגון שזה מעין מחט עבה שעושה פעולה דומה) הוא צעד מציל חיים. אחרי שהטרוקר הוכנס, לחץ האוויר שוחרר ולכן ניתן לבצע חבישה אטומה (עם גזה וזלין), לדאוג להחזרת נוזלים (בעיקר עם הפצוע בהלם), לרשום ולדווח ולתכנן פינוי. הערה: אם יש גם דימום מסיבי אז הפינוי הופך להיות בקדימות ראשונה."
